month,floor,exit,dir,is_ret,is_R,oos_R,ret,n,dd,pf,fill
2024-05,1.5,R10+trail5,L+S,14.000124017938177,0.5386629457578903,0.6552022023242916,7.495263397026286,16,-4.007523437638627,2.0521744441782888,0.8
2024-06,1.5,trail5,long,34.978239602177055,1.4442492776037328,-0.9018495664117114,-3.4600413584987333,5,-4.407341072599424,0.0,0.7142857142857143
2024-07,1.5,trail5,long,31.431765688158663,1.1769564150347303,-0.20524661045074133,-1.8658621438522927,10,-9.580516669144268,0.7705988632596933,0.9090909090909091
2024-08,1.5,trail5,L+S,41.530370489497216,0.6448901815177808,1.091231742150349,11.17501781356729,14,-8.188171218311291,3.1021445352074726,0.9333333333333333
2024-09,1.5,trail5,L+S,48.464169852170144,0.6171913363905303,0.4314284056936983,4.813921606722449,16,-6.704990547732937,1.6099307924407766,0.7272727272727273
2024-10,1.5,R10+trail5,L+S,58.62844741846549,0.5778754794417951,0.34752433403693206,3.804811949683473,17,-6.321139060095482,1.4426961264635312,0.7727272727272727
2024-11,1.5,R10+trail5,L+S,73.92485943724603,0.6060570961842732,0.8758553598212262,10.841066349029882,17,-7.5463324508593725,2.2315362065171884,0.8947368421052632
2024-12,1.5,R10+trail5,L+S,94.63313051836866,0.648887587806149,0.41128119708616034,4.75143657419046,17,-4.875758299311794,1.5581448634931299,0.9444444444444444
2025-01,1.5,R10+trail5,L+S,103.33585347999228,0.6264287873542755,-0.11934154149922777,-2.11386023717256,18,-6.354644652219454,0.8202083713184279,0.782608695652174
2025-02,1.5,R10+trail5,L+S,99.03761772536302,0.5538673499523129,0.5311435694389292,4.820139329085316,13,-6.810142598441383,1.7618873029247628,0.6190476190476191
2025-03,1.5,R10+trail5,L+S,95.16484115307135,0.510635941245317,-0.3230530085992453,-3.584778915249609,14,-6.637373123522783,0.5387346056779131,0.6363636363636364
2025-04,1.5,R10+trail5,L+S,87.38777258492077,0.4524295819551811,0.5699686489551059,6.0626621695133,15,-3.808993797415694,2.093226100863591,0.8333333333333334
2025-05,1.5,R10+trail5,L+S,99.02599317774484,0.4610898491708895,-0.07891185162363941,-1.7758825205214435,21,-8.92176687903331,0.8759435167569094,0.84
2025-06,1.5,trail5,L+S,107.64684715345396,0.49394796653684997,-0.3353999338239507,-4.687496765520516,18,-7.214548699444768,0.48068893123317713,0.8181818181818182
2025-07,2.0,trail5,L+S,99.96318138335786,0.48183769778329966,1.7497022931784714,13.153900914728101,10,-3.740582703024742,5.449722874582968,0.8333333333333334
2025-08,1.5,trail5,L+S,134.1322368760232,0.5123999737638245,1.5279263498297835,15.945107421349558,14,-5.441574832223484,3.5263366381538943,0.875
2025-09,1.5,trail5,L+S,171.6657542742532,0.5650320496046093,-0.1331633660137475,-2.1534682025724283,16,-9.63928086266418,0.8020865025594854,0.8888888888888888
2025-10,1.5,trail5,L+S,169.72665638445085,0.5390564891766407,-0.3770445109620856,-4.1820381446313615,14,-8.561734203349758,0.5552806810283117,0.6086956521739131
2025-11,1.5,trail5,L+S,156.35061484351272,0.4909300507008273,-0.160448082963264,-2.8782111916246578,21,-7.440153930720905,0.7680540268567583,0.9130434782608695
2025-12,2.0,trail5,L+S,158.25750662715987,0.5093746009229752,-0.4826446089558148,-5.491571455095401,15,-7.544279209156446,0.364189570776043,0.7894736842105263
2026-01,2.0,trail5,L+S,143.39796399579447,0.4577004013587426,2.2335673509956404,19.09362801402117,11,-4.460464657849195,7.654914013719144,0.9166666666666666
2026-02,2.0,trail5,L+S,185.43778495986095,0.5164030555284819,0.24719554056991658,2.242246002665338,13,-4.793294268047998,1.5284670254268315,0.7647058823529411
2026-03,2.0,trail5,L+S,192.07020039611083,0.5058023774586203,0.17610182834086174,1.6204093626210003,15,-5.148519392461304,1.2691153270316855,0.8333333333333334
2026-04,2.0,trail5,L+S,197.60414717164414,0.49353550762837883,-0.1692560749084067,-2.2861375667394324,16,-5.121858967876158,0.7073917401858602,0.7619047619047619
2026-05,2.0,trail5,L+S,190.66608321534395,0.46279463856275,0.5114128765292578,3.5758196073606863,10,-2.632443650684524,2.486848929397162,0.5263157894736842
2026-06,2.0,trail5,L+S,204.26751246825262,0.46958173443236395,0.3690574268356287,3.208738380117171,14,-7.604931642503288,1.4353230883989312,0.875
2026-07,1.5,trail5,L+S,212.58156551256172,0.43060354997919004,-0.3565599267378967,-4.256484686675588,15,-5.583328374490093,0.4900810006570544,0.7142857142857143
2026-08,2.0,trail5,L+S,214.9310446584714,0.45339502461595504,1.7484115398350604,16.7998895009023,14,-6.014324537564297,3.460665362773785,0.8235294117647058
2026-09,1.5,trail5,L+S,274.08775225207745,0.4723282017369566,-0.2514838817514225,-2.6723364606531463,13,-6.797931629905074,0.5822240846090863,0.9285714285714286
