month,floor,exit,dir,is_ret,is_R,oos_R,ret,n,dd,pf,fill
2024-06,1.5,R3,long,23.271506234375885,0.9949157545148328,-0.33664877200889115,-0.11891993129542477,1,-0.7172718602779793,0.0,1.0
2024-07,1.5,R3,long,23.42014219067363,0.9640976220606225,1.5219184464684574,6.5883078104409964,6,-1.818802402159403,4.592748163378802,0.8571428571428571
2024-08,1.5,R3,long,29.829399796405397,1.0182480490969967,-1.189536281483883,-6.4728354725195665,7,-6.4728354725195665,0.0,0.875
2024-09,1.5,R3,long,21.425756352624425,0.6822808683564283,0.46237859236639695,3.7174289359309665,13,-3.6971000926695696,1.665089535835206,0.8125
2024-10,1.5,R3,long,25.619045027790442,0.6280244722659839,0.7467374640680796,4.411627519741113,9,-2.9546218935342483,2.347889845960695,0.9
2024-11,1.5,R5,long,35.60702835553307,0.9450297601173193,1.2532239771278513,4.338415368541715,5,-4.696422267962685,2.6448015485657477,1.0
2024-12,1.5,R5,long,37.44485024195345,0.9133756993716119,-0.0722100671038026,-0.870269076523833,7,-5.723372257487192,0.9015459174755289,1.0
2025-01,1.5,R5,long,36.15112797722393,0.8057077855545732,1.5753701758135714,7.169237666845141,7,-5.351841427632575,4.015343766224887,0.7777777777777778
2025-02,1.5,R5,long,44.97916608757162,0.8827791536615315,1.4368576361299208,7.057812006030284,7,-4.311345810028144,3.1740765231964048,0.875
2025-03,1.5,R5,long,55.09924105463282,0.9455211947974764,1.1171274327937586,8.696712094346815,11,-3.16259412145522,2.553661781617039,0.8461538461538461
2025-04,1.5,R5,long,68.3184776469866,0.9645218121233349,-0.2728429259048079,-3.5487145777720053,14,-5.819158809760694,0.7029878801886782,0.875
2025-05,1.5,R5,long,62.860063509054484,0.8071545289004711,0.755551960801698,2.007184245392546,4,-1.8686391739179964,2.228999482995157,1.0
2025-06,1.5,R5,long,65.31007332999812,0.7997694289336296,-0.2532761119964683,-3.0490261599467994,12,-7.790027192415028,0.7515225773322102,0.7058823529411765
2025-07,1.5,R5,long,58.27364026694377,0.678463592564869,0.5589893814742825,2.0935762478293984,7,-3.8037777637040526,1.6356677355533964,0.7777777777777778
2025-08,1.5,R5,long,61.41930142531407,0.6705771006790234,-0.6251725045747953,-3.975388253003509,8,-7.713519796757485,0.5174749075623529,0.7272727272727273
2025-09,1.5,R5,long,61.428047752743595,0.6350835407549853,1.5182079389240764,11.718926166016242,11,-3.8817360247369925,3.0823254590543194,0.6470588235294118
2025-10,1.5,R10+trail5,long,85.37143296502339,0.7480382338232429,1.3384970676962438,10.497682516808226,11,-4.051745266615603,2.744978043881497,0.8461538461538461
2025-11,1.5,R10+trail5,long,106.70967892848711,0.8025320189755247,0.24181738872636355,1.4449438779403856,13,-5.96240874882813,1.243103150331233,0.7222222222222222
2025-12,1.5,R10+trail5,long,109.41277277231917,0.7580261982552761,-0.05975857730426507,-1.9918036854855603,18,-5.874500613806754,0.8869944730782233,0.9
2026-01,1.5,R10+trail5,long,105.98370543332808,0.6856800981818231,1.6705098318124265,16.000238631213158,13,-4.967640196298106,4.085964147354031,0.8666666666666667
2026-02,1.5,R10+trail5,long,138.56090148322787,0.7533746365805004,0.6562814534931933,7.050423436117659,16,-6.935794268143802,1.8262001941268242,0.8888888888888888
2026-03,1.5,R10+trail5,long,155.38045519081493,0.7460812519354446,1.3743716909850545,2.0719094953340456,2,-1.0787582533274387,2.879643668505109,0.6666666666666666
2026-04,1.5,R10+trail5,long,159.98972693727654,0.75024596087897,-0.35691147377407784,-3.0177500371953214,10,-4.378451327515576,0.5253971576666638,0.8333333333333334
2026-05,1.5,R10+trail5,long,152.6135074824049,0.7056569874746171,-0.6164784474492779,-4.6841428761428165,9,-5.8362612787835495,0.16833619111091405,0.75
2026-06,1.5,R10+trail5,long,140.78072986749274,0.6545873784003037,-1.5523369537739535,-1.2426528951120175,1,-1.492409471428513,0.0,0.5
2026-07,1.5,R10+trail5,long,137.78866115692279,0.6451560778354563,-0.5884327750923082,-6.76646735081714,18,-11.811862020441877,0.43054665659531155,0.782608695652174
2026-08,1.5,R10+trail5,long,133.10493327908722,0.5850952072405129,0.6420500176658633,7.419105967527728,17,-8.15583795372582,1.8055776968555328,0.8095238095238095
2026-09,2.0,R10+trail5,L+S,160.02151041077389,0.4745930266805441,-0.2292082372406999,-2.1776621682953134,11,-5.718351248484188,0.5969997869746618,0.7857142857142857
