month,floor,exit,dir,is_R,oos_R,ret,n,dd
2024-04,1.5,R3,L+S,0.6511904374702239,0.35302891061053077,4.234560450827707,17,-3.9767938921639323
2024-05,1.5,R10+trail5,L+S,0.6153252939309777,0.3246825167593687,3.504242247970324,16,-5.724944438399526
2024-06,3.0,trail5,long,0.6702503684538125,0.7559243328677575,2.148421127207789,4,-3.0407253443507143
2024-07,3.0,R10+trail5,L+S,0.5836155317424813,1.036996473457222,10.046527200415433,13,-2.3433206098408155
2024-08,2.0,R10+trail5,L+S,0.6830571995972313,0.6454835053931929,6.884411199138429,15,-3.298618016006738
2024-09,2.0,R10+trail5,L+S,0.6878123374933939,-0.18938218248748215,-2.223229534046234,14,-5.539357383309307
2024-10,3.0,R10+trail5,L+S,0.5126995064892905,0.48409534363544177,4.1160605487664315,12,-2.30798665407852
2024-11,3.0,R10+trail5,L+S,0.5254824916863611,0.42362509132838455,3.902553403859055,13,-2.977876117027889
2024-12,1.5,R10+trail5,L+S,0.7433603795931382,-0.155575089344794,-2.654489287483275,20,-10.54503075528509
2025-01,3.0,R10+trail5,L+S,0.47184091263246625,0.04656876212256581,0.29284921849830337,15,-3.581493178914086
2025-02,1.5,R10+trail5,L+S,0.6166945804167105,1.8294737272761297,11.914660759331408,11,-4.10043948503308
2025-03,3.0,trail5,L+S,0.5357887226636135,0.4234612130584912,2.9571362989493366,10,-2.149342626885742
2025-04,3.0,trail5,L+S,0.5288549257744084,0.42667497399576376,3.1843462773072373,11,-3.517154888248153
2025-05,3.0,trail5,L+S,0.5215708433596062,0.4867852399191374,3.989122736608275,12,-2.8816657850826544
2025-06,3.0,trail5,L+S,0.5304069231973761,0.32651927349918386,2.130696807871213,10,-2.356961774567845
2025-07,3.0,trail5,L+S,0.527214707887798,0.5875246434790893,4.31551163490933,11,-3.7918356986914925
2025-08,3.0,trail5,L+S,0.5304667142187011,0.5736223803552718,4.870160729553841,12,-2.7265547172208304
2025-09,3.0,trail5,L+S,0.5318328942842917,-0.30659552143669977,-3.9615824958003976,16,-4.944376832722186
2025-10,3.0,trail5,L+S,0.4779080314356966,-0.3247483864150479,-3.3157596709552206,13,-4.57383409406188
2025-11,3.0,R10+trail5,long,0.49980531469268386,-1.0733031323167792,-0.8057224380379702,1,-0.8057224380379702
2025-12,1.5,R5,L+S,0.6865527675697125,-0.791302146823819,-11.331289363373553,20,-11.760177752284019
2026-01,1.5,R5,L+S,0.5787574238653909,1.3103410814631502,7.832123441979388,10,-5.725734293123763
2026-02,2.0,trail5,L+S,0.4930364528923625,0.35412497041867236,2.9691914195274283,12,-6.386452467583448
2026-03,1.5,R10+trail5,L+S,0.5185912556002801,0.41247466830337565,4.197679848341118,15,-4.51722081071485
2026-04,1.5,R5,L+S,0.621665630888735,0.3777864159406776,1.2189767196987944,6,-5.932032152499511
2026-05,1.5,R5,L+S,0.6159842582340013,1.029507763799654,7.167516198497337,10,-4.757193765767531
2026-06,1.5,R10+trail5,L+S,0.5180353285552922,0.7639176338195374,8.734657667751211,16,-4.673897890669421
2026-07,1.5,R10+trail5,L+S,0.548596786223746,0.14045383381241575,0.9638159024584647,14,-4.631726489923116
2026-08,1.5,R10+trail5,L+S,0.5356104195561128,-0.38344310786366975,-4.719074291305225,23,-7.081870403259572
2026-09,1.5,R10+trail5,L+S,0.4913708591985415,0.27246434693712934,2.563259581604771,10,-6.028299785864255
