month,floor,exit,dir,is_ret,is_R,oos_R,ret,n,dd,pf,fill
2024-06,1.5,R3,long,17.426501959818317,0.9949157545148327,-0.33664877200889115,-0.04361136363635332,1,-0.263324465416348,0.0,1.0
2024-07,1.5,R3,long,17.478426459382423,0.9640976220606224,1.521918446468457,3.445159415281207,6,-1.147333137191009,4.0991750795722295,0.8571428571428571
2024-08,1.5,R3,long,20.56315342525783,1.0182480490969967,-1.189536281483883,-4.380705732362722,7,-4.380705732362722,0.0,0.875
2024-09,1.5,R3,long,15.281636452040303,0.6822808683564283,0.4623785923663969,1.804248100983763,13,-2.0217817705348917,1.6160815286510581,0.8125
2024-10,1.5,R3,long,17.140818353637922,0.628024472265984,0.7467374640680796,1.9968731179105692,9,-2.269558463489163,1.973866142012431,0.9
2024-11,1.5,R5,long,20.839533388757793,0.9450297601173194,1.2532239771278513,3.3263711333689328,5,-3.178208966397311,2.902645082773126,1.0
2024-12,1.5,R5,long,22.5724440776782,0.9133756993716119,-0.07221006710380283,-1.184995209595474,7,-3.762973575839701,0.6444846698307536,1.0
2025-01,1.5,R5,long,21.075474521992344,0.8057077855545732,1.5753701758135714,3.1163615141976075,7,-3.2905048363166878,3.2587567407739892,0.7777777777777778
2025-02,1.5,R5,long,24.701945158364367,0.8827791536615315,1.4368576361299208,1.6018166368397146,7,-4.292573038002612,1.6083465227211913,0.875
2025-03,1.5,R5,long,26.980933561847497,0.9455211947974769,1.1171274327937586,4.90484982480992,11,-1.7250314237877151,2.702295488536101,0.8461538461538461
2025-04,1.5,R5,long,33.04175432807761,0.9645218121233349,-0.2728429259048081,-2.3783437091795645,14,-4.868527083658758,0.7849831905775563,0.875
2025-05,1.5,R5,long,30.336482504463035,0.807154528900471,0.755551960801698,2.2690775779244277,4,-1.270632614903422,3.0189250284438742,1.0
2025-06,1.5,R5,long,32.63437498121073,0.7997694289336297,-0.2532761119964684,-2.2611202317668,12,-4.0522526577393965,0.6010250387450234,0.7058823529411765
2025-07,1.5,R3,long,31.2802369824523,0.51789774565865,0.13631537816736028,0.20632428451476947,9,-1.6511269050796584,1.1885620379640527,0.75
2025-08,1.5,R5,long,31.76372034427071,0.6705771006790237,-0.6251725045747953,-1.0690779032450304,8,-2.306792481670872,0.5921061850287122,0.7272727272727273
2025-09,1.5,R5,long,33.10061680425063,0.6350835407549852,1.5182079389240764,6.21803893687658,11,-1.6286210170587845,3.4785707850069953,0.6470588235294118
2025-10,1.5,R5,long,39.65251785447634,0.6956701638152533,0.49974551865063327,0.29940418804697,11,-3.1131573359416187,1.102718413503965,0.7333333333333333
2025-11,2.0,R10+trail5,long,43.80837183324717,0.8354706235458286,0.729445727484416,1.4503732420148907,12,-5.033180163173656,1.370216357813514,0.8
2025-12,2.0,R10+trail5,long,45.744996566327515,0.8257920994461098,-0.12809477122820148,-1.7564694744571785,18,-3.6617041916634063,0.7610137939871449,0.9
2026-01,2.0,R10+trail5,long,43.44749290008154,0.7297136293738965,1.3037701041663343,10.096691503271016,12,-3.769631188072764,3.760178206610897,0.8571428571428571
2026-02,2.0,R10+trail5,long,57.82155106442581,0.7728395454586838,0.5186964499768941,3.928284662884196,12,-4.446399212298746,1.8721761332804443,0.8571428571428571
2026-03,2.0,R10+trail5,long,64.02123084961555,0.756443216717923,0.9058650108637947,2.006239826703493,2,-0.37360546216002044,6.280522600761153,0.6666666666666666
2026-04,2.0,R10+trail5,long,66.98104077372675,0.7565919786693104,-0.40361709917393684,-2.0629006192404264,10,-2.9238578979834617,0.5209977060081027,0.8333333333333334
2026-05,2.0,R10+trail5,long,64.06797731909111,0.7040761282748649,-0.5733932865869603,-3.0151280295947824,9,-3.8262176068143305,0.13282442615675238,0.75
2026-06,2.0,R10+trail5,long,59.121117747353914,0.6482643577226491,-1.4140802300804718,-0.33318423057954183,1,-0.38956459431367385,0.0,0.5
2026-07,2.0,R10+trail5,long,58.59095127549785,0.638301340390267,-0.5468243076019728,-3.742611604854862,17,-5.56755974597073,0.38195522848172636,0.7727272727272727
2026-08,2.0,R10+trail5,L+S,58.87003426595021,0.424163152321383,1.4602044098194975,10.398018549874276,17,-3.484312158478775,2.91442975488765,0.9444444444444444
2026-09,2.0,R10+trail5,long,75.5983462936578,0.6447586221337313,1.3867201726356218,1.964641874229467,2,-1.485739795368235,7.726155047193513,1.0
