month,floor,exit,dir,is_ret,is_R,oos_R,ret,n,dd,pf,fill
2024-05,1.5,R10+trail5,L+S,14.000124017938177,0.5386629457578903,0.6552022023242916,7.495263397026286,16,-4.007523437638627,2.0521744441782888,0.8
2024-06,1.5,trail5,long,34.978239602177055,1.4442492776037328,-0.9018495664117114,-3.4600413584987333,5,-4.407341072599424,0.0,0.7142857142857143
2024-07,1.5,trail5,long,31.431765688158663,1.1769564150347303,-0.20524661045074125,-1.8035105306568378,10,-9.523066725901863,0.7770430472461566,0.9090909090909091
2024-08,1.5,trail5,L+S,38.0355541018391,0.6448901815177808,1.091231742150349,11.17501781356729,14,-8.188171218311291,3.1021445352074726,0.9333333333333333
2024-09,1.5,trail5,L+S,44.79813681639884,0.6171913363905303,0.4314284056936983,3.5714577414533766,16,-6.681332089541581,1.4598181072548735,0.7272727272727273
2024-10,1.5,trail5,L+S,52.62220343397943,0.6181008584469397,0.24310033168300602,2.2668915254312028,15,-6.321139060095426,1.3475594746922466,0.75
2024-11,2.0,trail5,L+S,67.54062053601643,0.6970853741393499,0.9661022596021598,8.878340999751376,13,-5.943136185037268,2.453340899930373,0.8666666666666667
2024-12,1.5,trail5,L+S,87.0304500479703,0.7120544356022153,0.36967265444675895,3.997252676327445,16,-6.12017352875821,1.514980235831976,0.9411764705882353
2025-01,1.5,R10+trail5,L+S,94.94546607202503,0.6264287873542755,-0.11934154149922777,-2.11386023717256,18,-6.354644652219454,0.8202083713184279,0.782608695652174
2025-02,2.0,trail5,L+S,93.4401006692722,0.6533510659971498,0.5219098326926656,4.0671362037495,11,-6.142784692978709,1.9144481327100007,0.5789473684210527
2025-03,2.0,trail5,L+S,90.00380903362854,0.5980645184538129,-0.20736009948116474,-2.0586790777422315,12,-3.8977932813001326,0.6209177620790337,0.631578947368421
2025-04,2.0,trail5,L+S,85.50890534615081,0.538777088865294,0.2694135638133515,2.6036140166546318,14,-4.638907162440753,1.6322890731314534,0.8235294117647058
2025-05,1.5,R10+trail5,L+S,90.8134465046567,0.4610898491708896,-0.07891185162363941,-1.7758825205214435,21,-8.92176687903331,0.8759435167569094,0.84
2025-06,2.0,trail5,L+S,104.92731844619465,0.5352844363375432,-0.11206259517423646,-1.687432630505581,17,-5.690529862201843,0.7777327325999075,0.8947368421052632
2025-07,2.0,trail5,L+S,99.73701506987179,0.4818376977832996,1.7497022931784714,13.153900914728101,10,-3.740582703024742,5.449722874582968,0.8333333333333334
2025-08,2.0,trail5,L+S,127.15571386071285,0.5409439022918615,1.3554477702924281,12.097384405463085,12,-3.9688571522596416,3.9220655602934347,0.8571428571428571
2025-09,1.5,trail5,L+S,161.97291097518996,0.5650320496046092,-0.1331633660137475,-2.0212051252718854,16,-9.517136658259084,0.8134556793719099,0.8888888888888888
2025-10,1.5,trail5,L+S,160.45459038065357,0.5390564891766406,-0.3770445109620856,-4.1820381446313615,14,-8.561734203349758,0.5552806810283117,0.6086956521739131
2025-11,1.5,trail5,L+S,147.5383607904498,0.4909300507008272,-0.160448082963264,-2.8782111916246578,21,-7.440153930720905,0.7680540268567583,0.9130434782608695
2025-12,2.0,trail5,L+S,157.96540711263938,0.5093746009229752,-0.4826446089558148,-5.470469290000635,15,-7.544279209156446,0.36508855933835743,0.7894736842105263
2026-01,2.0,trail5,L+S,143.17695647654344,0.4577004013587426,2.2335673509956404,19.09362801402117,11,-4.460464657849195,7.654914013719144,0.9166666666666666
2026-02,2.0,trail5,L+S,185.17860490872602,0.5164030555284819,0.24719554056991658,2.242246002665338,13,-4.793294268047998,1.5284670254268315,0.7647058823529411
2026-03,2.0,trail5,L+S,191.8049980526851,0.5058023774586203,0.17610182834086174,1.6204093626210003,15,-5.148519392461304,1.2691153270316855,0.8333333333333334
2026-04,2.0,trail5,L+S,197.3339199552556,0.49353550762837894,-0.1692560749084067,-2.2861375667394324,16,-5.121858967876158,0.7073917401858602,0.7619047619047619
2026-05,2.0,trail5,L+S,190.40215582282505,0.46279463856275,0.5114128765292578,3.5758196073606863,10,-2.632443650684524,2.486848929397162,0.5263157894736842
2026-06,2.0,trail5,L+S,203.99123485682424,0.46958173443236395,0.3690574268356287,3.208738380117171,14,-7.604931642503288,1.4353230883989312,0.875
2026-07,2.0,trail5,L+S,210.72537635362156,0.46339793203766605,0.16268464237347918,1.1940146773020466,13,-4.615126382895241,1.2407196826655182,0.8125
2026-08,2.0,trail5,L+S,214.6450844648343,0.45339502461595504,1.7484115398350604,17.66806853656384,14,-6.014324537564175,3.849720163520114,0.8235294117647058
2026-09,2.0,trail5,L+S,273.001283151425,0.5030883183939541,-0.04426416208753719,-0.582340971568629,11,-3.949088005413526,0.9004752032775679,0.9166666666666666
